Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Returns,MA5,MA20,MA50,RSI,MACD,Signal_Line,BB_middle,BB_std,BB_upper,BB_lower,Volume_MA5,Volume_MA20,Volatility,Target
2022-01-03 00:00:00-05:00,144.36479494039722,145.15701265332763,143.02918515577247,144.30160522460938,28646000,0.0,0.0,,,,,,0.0,0.0,,,,,,,,143.71243286132812
2022-01-04 00:00:00-05:00,144.7041819007758,145.78800478376272,143.03268400586742,143.71243286132812,28400000,0.0,0.0,-0.00408292314118186,,,,,-0.04699950476316417,-0.009399900952632835,,,,,,,,137.1194305419922
2022-01-05 00:00:00-05:00,143.7328164404052,143.81193646128006,137.03285410456272,137.1194305419922,54618000,0.0,0.0,-0.0458763531315185,,,,,-0.6092243786441429,-0.12936479649093485,,,,,,,,137.09207153320312
2022-01-06 00:00:00-05:00,136.34664244900424,139.2741441048197,135.9087336140623,137.09207153320312,37348000,0.0,0.0,-0.00019952685539115222,,,,,-1.0449537092674746,-0.3124825790462428,,,,,,,,136.36505126953125
2022-01-07 00:00:00-05:00,137.48817599061857,137.7897432622947,135.12049780917903,136.36505126953125,29760000,0.0,0.0,-0.005303153242496528,139.7181182861328,,,,-1.4324247020514065,-0.5364710036472756,,,,,35754400.0,,,138.0096893310547
2022-01-10 00:00:00-05:00,134.43528635965367,138.1589847256294,132.5308930765843,138.0096893310547,44408000,0.0,0.0,0.012060553977813138,138.45973510742186,,,,-1.5884787148283976,-0.7468725458835,,,,,38906800.0,,,139.0710906982422
2022-01-11 00:00:00-05:00,137.3503290474821,139.54881766216988,136.0420848882387,139.0710906982422,28730000,0.0,0.0,0.007690774266156275,137.53146667480468,,,,-1.607970738683406,-0.9190921844434812,,,,,38972800.0,,,140.75753784179688
2022-01-12 00:00:00-05:00,140.4783702161075,141.9294404967946,140.02504742905134,140.75753784179688,26108000,0.0,0.0,0.012126511233121473,138.25908813476562,,,,-1.4703864184151882,-1.0293510312378227,,,,,33270800.0,,,137.92758178710938
2022-01-13 00:00:00-05:00,140.86651857043935,142.1702980929826,137.75041975538085,137.92758178710938,31436000,0.0,0.0,-0.02010518298400621,138.4261901855469,,,,-1.5715873750642686,-1.137798300003112,,,,,32088400.0,,,138.8168182373047
2022-01-14 00:00:00-05:00,136.426740644181,140.07232082607686,136.3466335227671,138.8168182373047,29662000,0.0,0.0,0.006447125648645358,138.91654357910156,,,,-1.5620298051861425,-1.2226446010397183,,,,,32068800.0,,,135.35089111328125
2022-01-18 00:00:00-05:00,135.52705085012096,136.47899680734477,134.79405929684148,135.35089111328125,34872000,0.0,0.0,-0.024967631213809405,138.38478393554686,,,,-1.8132249861987475,-1.3407606780715242,,,,,30161600.0,,,134.4735870361328
2022-01-19 00:00:00-05:00,135.87388991456638,137.30306172956688,134.37306968151069,134.4735870361328,28648000,0.0,0.0,-0.006481701523591621,137.465283203125,,,,-2.059351165668346,-1.4844787755908886,,,,,30145200.0,,,132.67320251464844
2022-01-20 00:00:00-05:00,135.60170661619608,136.97116649417453,132.33183224033456,132.67320251464844,29908000,0.0,0.0,-0.013388387721081751,135.84841613769532,,,,-2.3723370952781124,-1.6620504395283335,,,,,30905200.0,,,129.73126220703125
2022-01-21 00:00:00-05:00,131.96259868346377,134.22377601264574,129.46752373899022,129.73126220703125,55652000,0.0,0.0,-0.022174337031567237,134.2091522216797,,,21.01443204336171,-2.825203508027016,-1.8946810532280702,,,,,35748400.0,,,130.18161010742188
2022-01-24 00:00:00-05:00,125.37856914011597,130.5787136535352,123.90760490884027,130.18161010742188,76622000,0.0,0.0,0.003471390725174217,132.48211059570312,,,22.404785164986563,-3.1118921355566442,-2.138123269693785,,,,,45140400.0,,,126.33101654052734
2022-01-25 00:00:00-05:00,128.12743590180497,128.78329685194453,125.8985899276899,126.33101654052734,46960000,0.0,0.0,-0.02957862914521603,130.67813568115236,,,19.87158955207103,-3.6082124315722126,-2.4321411020694708,,,,,47558000.0,,,128.6180877685547
